Probability of death for males by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2011,0.007012,0.000432,0.000292,0.000243,0.000189,0.000164,0.000147,0.000130,0.000111,0.000091,0.000078,0.000083,0.000123,0.000205,0.000319,0.000443,0.000566,0.000701,0.000844,0.000991,0.001145,0.001288,0.001391,0.001438,0.001442,0.001433,0.001429,0.001427,0.001432,0.001445,0.001462,0.001479,0.001499,0.001521,0.001551,0.001591,0.001649,0.001730,0.001841,0.001980,0.002142,0.002326,0.002534,0.002768,0.003029,0.003310,0.003621,0.003978,0.004389,0.004844,0.005334,0.005838,0.006338,0.006821,0.007299,0.007824,0.008391,0.008941,0.009461,0.009987,0.010564,0.011248,0.012070,0.013061,0.014213,0.015525,0.016964,0.018501,0.020125,0.021877,0.023891,0.026169,0.028600,0.031172,0.033977,0.037192,0.040895,0.045041,0.049663,0.054840,0.060793,0.067499,0.074767,0.082576,0.091122,0.100666,0.111428,0.123554,0.137105,0.152067,0.168397,0.186028,0.204885,0.224886,0.245945,0.266829,0.287158,0.306529,0.324531,0.340757,0.357795,0.375685,0.394469,0.414193,0.434902,0.456647,0.479480,0.503454,0.528626,0.555058,0.582811,0.611951,0.642549,0.674676,0.708410,0.743830,0.781022,0.820073,0.861077,0.904131
2012,0.006940,0.000423,0.000286,0.000238,0.000185,0.000161,0.000143,0.000126,0.000107,0.000088,0.000075,0.000080,0.000118,0.000197,0.000308,0.000427,0.000547,0.000679,0.000823,0.000972,0.001128,0.001274,0.001380,0.001430,0.001439,0.001434,0.001433,0.001433,0.001439,0.001452,0.001467,0.001482,0.001499,0.001518,0.001543,0.001579,0.001631,0.001707,0.001812,0.001944,0.002099,0.002277,0.002481,0.002711,0.002970,0.003248,0.003556,0.003915,0.004334,0.004800,0.005302,0.005816,0.006320,0.006802,0.007273,0.007789,0.008342,0.008877,0.009382,0.009889,0.010442,0.011095,0.011881,0.012832,0.013937,0.015207,0.016594,0.018046,0.019543,0.021140,0.022971,0.025079,0.027406,0.029964,0.032812,0.036091,0.039816,0.043904,0.048360,0.053288,0.058982,0.065442,0.072444,0.079969,0.088229,0.097503,0.108029,0.119967,0.133385,0.148276,0.164596,0.182282,0.201255,0.221434,0.242731,0.263835,0.284336,0.303805,0.321801,0.337891,0.354786,0.372525,0.391151,0.410709,0.431244,0.452806,0.475447,0.499219,0.524180,0.550389,0.577909,0.606804,0.637144,0.669001,0.702451,0.737574,0.774453,0.813175,0.853834,0.896526
2013,0.006870,0.000414,0.000280,0.000233,0.000181,0.000157,0.000140,0.000123,0.000104,0.000085,0.000072,0.000077,0.000114,0.000190,0.000296,0.000411,0.000527,0.000658,0.000802,0.000954,0.001114,0.001263,0.001371,0.001425,0.001437,0.001435,0.001437,0.001439,0.001446,0.001458,0.001472,0.001487,0.001501,0.001515,0.001535,0.001564,0.001611,0.001681,0.001781,0.001909,0.002061,0.002235,0.002436,0.002664,0.002920,0.003195,0.003500,0.003861,0.004288,0.004765,0.005278,0.005800,0.006310,0.006791,0.007256,0.007764,0.008308,0.008826,0.009305,0.009780,0.010296,0.010911,0.011660,0.012577,0.013651,0.014888,0.016238,0.017649,0.019097,0.020640,0.022413,0.024463,0.026733,0.029237,0.032033,0.035254,0.038918,0.042951,0.047359,0.052241,0.057895,0.064306,0.071227,0.078630,0.086741,0.095862,0.106249,0.118072,0.131405,0.146236,0.162518,0.180178,0.199133,0.219295,0.240572,0.261651,0.282116,0.301528,0.319440,0.335412,0.352183,0.369792,0.388282,0.407696,0.428081,0.449485,0.471959,0.495557,0.520335,0.546351,0.573669,0.602352,0.632470,0.664094,0.697298,0.732163,0.768771,0.807210,0.847570,0.889949
2014,0.006800,0.000406,0.000274,0.000228,0.000178,0.000154,0.000136,0.000120,0.000101,0.000082,0.000069,0.000074,0.000110,0.000182,0.000285,0.000395,0.000508,0.000636,0.000782,0.000936,0.001099,0.001251,0.001363,0.001419,0.001435,0.001436,0.001442,0.001446,0.001454,0.001465,0.001478,0.001491,0.001503,0.001513,0.001527,0.001551,0.001591,0.001656,0.001751,0.001875,0.002024,0.002195,0.002393,0.002617,0.002871,0.003143,0.003447,0.003810,0.004243,0.004731,0.005256,0.005786,0.006300,0.006780,0.007241,0.007742,0.008276,0.008778,0.009231,0.009675,0.010155,0.010732,0.011445,0.012330,0.013373,0.014579,0.015894,0.017264,0.018664,0.020155,0.021872,0.023867,0.026082,0.028535,0.031281,0.034447,0.038054,0.042033,0.046395,0.051233,0.056848,0.063212,0.070055,0.077341,0.085309,0.094283,0.104537,0.116252,0.129507,0.144286,0.160535,0.178177,0.197122,0.217277,0.238542,0.259604,0.280041,0.299405,0.317242,0.333104,0.349759,0.367247,0.385610,0.404890,0.425135,0.446392,0.468711,0.492147,0.516754,0.542592,0.569721,0.598207,0.628118,0.659524,0.692500,0.727125,0.763481,0.801655,0.841738,0.883825
2015,0.006723,0.000398,0.000269,0.000224,0.000174,0.000151,0.000133,0.000117,0.000098,0.000080,0.000068,0.000072,0.000106,0.000177,0.000276,0.000383,0.000492,0.000619,0.000765,0.000920,0.001086,0.001239,0.001354,0.001413,0.001431,0.001435,0.001443,0.001449,0.001457,0.001468,0.001481,0.001492,0.001502,0.001509,0.001519,0.001537,0.001573,0.001634,0.001725,0.001845,0.001990,0.002159,0.002354,0.002576,0.002828,0.003097,0.003398,0.003762,0.004200,0.004695,0.005226,0.005761,0.006277,0.006756,0.007212,0.007706,0.008232,0.008719,0.009152,0.009569,0.010018,0.010564,0.011247,0.012106,0.013125,0.014306,0.015593,0.016931,0.018292,0.019738,0.021409,0.023356,0.025525,0.027933,0.030635,0.033755,0.037311,0.041242,0.045556,0.050346,0.055915,0.062227,0.069004,0.076203,0.084070,0.092941,0.103099,0.114731,0.127917,0.142640,0.158844,0.176450,0.195363,0.215489,0.236727,0.257759,0.278157,0.297467,0.315229,0.330991,0.347540,0.364917,0.383163,0.402322,0.422438,0.443559,0.465737,0.489024,0.513476,0.539149,0.566107,0.594412,0.624133,0.655339,0.688106,0.722512,0.758637,0.796569,0.836398,0.878217
2016,0.006640,0.000391,0.000264,0.000220,0.000171,0.000149,0.000131,0.000114,0.000096,0.000077,0.000065,0.000070,0.000103,0.000172,0.000269,0.000372,0.000479,0.000605,0.000750,0.000907,0.001074,0.001229,0.001345,0.001406,0.001426,0.001432,0.001442,0.001449,0.001457,0.001468,0.001480,0.001491,0.001499,0.001503,0.001510,0.001524,0.001557,0.001614,0.001701,0.001818,0.001961,0.002127,0.002319,0.002538,0.002788,0.003054,0.003353,0.003716,0.004156,0.004656,0.005191,0.005728,0.006245,0.006722,0.007172,0.007660,0.008178,0.008653,0.009067,0.009461,0.009884,0.010403,0.011062,0.011900,0.012900,0.014061,0.015326,0.016636,0.017965,0.019374,0.021005,0.022912,0.025041,0.027409,0.030072,0.033151,0.036664,0.040548,0.044814,0.049553,0.055069,0.061327,0.068044,0.075178,0.082977,0.091779,0.101868,0.113433,0.126557,0.141220,0.157369,0.174923,0.193787,0.213868,0.235062,0.256048,0.276393,0.295641,0.313326,0.328993,0.345442,0.362715,0.380850,0.399893,0.419887,0.440882,0.462926,0.486072,0.510376,0.535895,0.562689,0.590824,0.620365,0.651383,0.683952,0.718150,0.754057,0.791760,0.831348,0.872916
2017,0.006552,0.000384,0.000260,0.000216,0.000168,0.000146,0.000128,0.000111,0.000093,0.000075,0.000064,0.000068,0.000101,0.000168,0.000262,0.000364,0.000468,0.000592,0.000738,0.000895,0.001063,0.001218,0.001335,0.001397,0.001419,0.001427,0.001438,0.001446,0.001455,0.001466,0.001477,0.001488,0.001494,0.001496,0.001500,0.001512,0.001541,0.001595,0.001680,0.001794,0.001934,0.002098,0.002287,0.002504,0.002751,0.003014,0.003310,0.003672,0.004114,0.004615,0.005152,0.005690,0.006205,0.006678,0.007123,0.007606,0.008116,0.008580,0.008978,0.009353,0.009753,0.010249,0.010887,0.011708,0.012693,0.013839,0.015086,0.016374,0.017675,0.019052,0.020649,0.022519,0.024612,0.026946,0.029574,0.032616,0.036090,0.039931,0.044147,0.048833,0.054293,0.060493,0.067157,0.074243,0.081997,0.090753,0.100793,0.112305,0.125370,0.139971,0.156056,0.173545,0.192346,0.212367,0.233506,0.254436,0.274720,0.293900,0.311507,0.327082,0.343437,0.360608,0.378639,0.397571,0.417449,0.438322,0.460238,0.483250,0.507412,0.532783,0.559422,0.587393,0.616763,0.647601,0.679981,0.713980,0.749679,0.787163,0.826521,0.867847
2018,0.006461,0.000378,0.000255,0.000212,0.000165,0.000143,0.000126,0.000110,0.000092,0.000074,0.000062,0.000066,0.000098,0.000164,0.000257,0.000356,0.000459,0.000582,0.000727,0.000884,0.001052,0.001208,0.001325,0.001389,0.001412,0.001421,0.001434,0.001443,0.001452,0.001461,0.001473,0.001482,0.001488,0.001488,0.001489,0.001499,0.001525,0.001577,0.001659,0.001772,0.001909,0.002070,0.002257,0.002472,0.002717,0.002977,0.003271,0.003631,0.004072,0.004573,0.005110,0.005646,0.006159,0.006629,0.007068,0.007545,0.008048,0.008502,0.008886,0.009243,0.009624,0.010101,0.010722,0.011528,0.012501,0.013635,0.014866,0.016136,0.017413,0.018762,0.020328,0.022167,0.024228,0.026530,0.029125,0.032135,0.035574,0.039373,0.043540,0.048170,0.053570,0.059712,0.066327,0.073377,0.081105,0.089834,0.099840,0.111308,0.124317,0.138853,0.154866,0.172279,0.191006,0.210955,0.232028,0.252891,0.273106,0.292212,0.309738,0.325225,0.341486,0.358560,0.376488,0.395313,0.415079,0.435832,0.457624,0.480505,0.504531,0.529757,0.556245,0.584057,0.613260,0.643923,0.676119,0.709925,0.745421,0.782693,0.821827,0.862919
2019,0.006368,0.000372,0.000251,0.000209,0.000163,0.000141,0.000124,0.000107,0.000090,0.000072,0.000060,0.000065,0.000096,0.000160,0.000252,0.000349,0.000451,0.000573,0.000717,0.000875,0.001042,0.001198,0.001316,0.001380,0.001404,0.001414,0.001428,0.001437,0.001446,0.001456,0.001467,0.001476,0.001480,0.001479,0.001479,0.001486,0.001510,0.001560,0.001640,0.001750,0.001886,0.002045,0.002230,0.002442,0.002684,0.002942,0.003233,0.003590,0.004030,0.004529,0.005064,0.005598,0.006108,0.006573,0.007008,0.007479,0.007976,0.008420,0.008792,0.009134,0.009497,0.009957,0.010563,0.011357,0.012321,0.013445,0.014664,0.015918,0.017174,0.018499,0.020037,0.021848,0.023879,0.026152,0.028717,0.031697,0.035103,0.038862,0.042979,0.047554,0.052891,0.058973,0.065542,0.072567,0.080281,0.088997,0.098981,0.110411,0.123365,0.137834,0.153769,0.171100,0.189742,0.209610,0.230610,0.251399,0.271539,0.290567,0.308012,0.323413,0.339583,0.356562,0.374391,0.393110,0.412766,0.433404,0.455074,0.477828,0.501719,0.526805,0.553145,0.580803,0.609843,0.640335,0.672352,0.705969,0.741268,0.778331,0.817248,0.858110
2020,0.006274,0.000366,0.000247,0.000206,0.000160,0.000139,0.000122,0.000106,0.000088,0.000070,0.000059,0.000063,0.000094,0.000157,0.000248,0.000344,0.000444,0.000565,0.000708,0.000865,0.001033,0.001188,0.001306,0.001371,0.001395,0.001406,0.001421,0.001430,0.001440,0.001449,0.001459,0.001468,0.001472,0.001469,0.001468,0.001473,0.001496,0.001544,0.001622,0.001730,0.001864,0.002020,0.002203,0.002413,0.002653,0.002908,0.003196,0.003551,0.003988,0.004485,0.005017,0.005548,0.006053,0.006514,0.006943,0.007409,0.007900,0.008335,0.008695,0.009024,0.009372,0.009817,0.010409,0.011194,0.012150,0.013267,0.014476,0.015716,0.016953,0.018256,0.019769,0.021554,0.023558,0.025804,0.028341,0.031294,0.034669,0.038389,0.042457,0.046976,0.052248,0.058270,0.064796,0.071802,0.079512,0.088224,0.098194,0.109591,0.122493,0.136891,0.152744,0.169986,0.188537,0.208317,0.229236,0.249944,0.270002,0.288948,0.306309,0.321624,0.337706,0.354591,0.372320,0.390937,0.410483,0.431008,0.452558,0.475186,0.498945,0.523892,0.550087,0.577591,0.606471,0.636794,0.668634,0.702066,0.737169,0.774028,0.812729,0.853365
